-0.0951, 1.35, 0.883, sig
-0.142, -0.148, 1.56, bkg
0.382, 1.09, 0.628, sig
-0.861, -0.622, 0.103, bkg
0.954, 0.231, 0.987, sig
0.0983, -1.01, 1.9, bkg
1.45, -0.0583, 1.35, sig
-0.999, -0.316, 0.694, bkg
1.23, 0.157, 0.995, sig
-0.378, -1.1, 0.304, bkg
1.3, 0.147, 1.48, sig
-0.889, -0.205, 1.2, bkg
0.476, 0.629, 1.77, sig
-1.28, 0.783, 0.666, bkg
-1.56, 3.01, 0.775, sig
-0.447, -0.858, 0.13, bkg
1.6, -0.238, 0.0127, sig
-1.32, 0.294, 0.489, bkg
1.07, -0.235, 0.99, sig
0.21, -1.62, 0.172, bkg
0.629, 0.988, 1.37, sig
-1.83, 0.223, 1.61, bkg
1.15, 0.161, 0.336, sig
-0.697, -1.14, 0.0347, bkg
-0.296, 2.12, 0.219, sig
0.279, -1.21, 1.52, bkg
1.73, -0.157, 0.51, sig
-0.586, -0.972, 0.341, bkg
1.5, -0.347, 1.76, sig
-1.09, -0.356, 1.4, bkg
1.01, 0.173, 1.86, sig
-1.4, -0.113, 0.924, bkg
0.927, -0.0741, 1.99, sig
-1.09, 0.00681, 1.71, bkg
0.744, -0.155, 0.253, sig
-0.332, -0.38, 1.74, bkg
0.376, 0.324, 0.556, sig
-1.57, 0.121, 1.1, bkg
0.92, 1.08, 0.567, sig
0.288, -0.318, 1.69, bkg
0.884, -0.037, 0.354, sig
-1.79, -0.174, 0.75, bkg
0.866, 0.731, 0.214, sig
-1.05, -0.148, 0.187, bkg
2.48, -1.77, 1.24, sig
0.00667, -0.152, 0.106, bkg
2.6, -1.68, 0.624, sig
-0.639, -1.19, 0.46, bkg
1.88, 0.0429, 1.01, sig
-0.698, -0.791, 1.37, bkg
0.237, 0.537, 1.77, sig
-2.09, 0.597, 1.14, bkg
1.68, -0.492, 1.35, sig
0.0338, -1.08, 1.77, bkg
0.99, -0.461, 0.953, sig
-0.962, 0.0032, 0.572, bkg
-0.827, 2.67, 1.23, sig
-1.0, -0.193, 0.62, bkg
1.43, -0.786, 0.0556, sig
0.544, -1.3, 0.348, bkg
1.39, 0.192, 1.53, sig
-0.964, 0.556, 1.33, bkg
-0.31, 0.429, 1.21, sig
0.201, -1.91, 1.06, bkg
-1.04, 1.93, 1.6, sig
-0.15, -0.719, 0.441, bkg
0.612, 0.263, 0.243, sig
0.412, -1.53, 0.904, bkg
1.39, -0.117, 0.537, sig
-2.32, 1.15, 1.5, bkg
2.73, -2.07, 1.94, sig
-0.947, -0.44, 0.848, bkg
0.919, 0.488, 0.692, sig
-1.62, -0.363, 1.75, bkg
0.231, 1.48, 1.4, sig
-1.09, -0.633, 0.941, bkg
-0.382, 1.79, 0.366, sig
-3.59, 1.93, 1.17, bkg
0.194, 1.07, 1.37, sig
-1.82, 1.09, 1.45, bkg
0.775, 0.349, 1.67, sig
-0.486, -0.411, 0.404, bkg
0.0212, 1.85, 0.826, sig
-2.28, 1.04, 1.87, bkg
1.57, -0.756, 1.02, sig
-0.666, -0.035, 1.17, bkg
1.17, -0.384, 1.18, sig
-0.0952, -2.01, 1.49, bkg
1.88, -0.127, 1.21, sig
-1.1, -0.593, 0.429, bkg
1.33, -0.662, 1.65, sig
-0.84, -1.09, 0.723, bkg
1.6, -0.543, 0.985, sig
0.518, -1.53, 0.188, bkg
1.73, -0.804, 0.419, sig
0.533, -1.72, 0.785, bkg
1.5, -0.402, 1.05, sig
-2.32, 0.986, 1.61, bkg
1.96, -0.586, 1.47, sig
-1.48, 0.334, 1.52, bkg
-1.88, 2.93, 1.53, sig
-2.53, 1.67, 0.782, bkg
0.385, 1.24, 1.04, sig
-2.52, 0.989, 0.727, bkg
0.844, -0.718, 0.721, sig
0.747, -1.45, 0.871, bkg
1.86, -0.137, 1.36, sig
0.2, -0.778, 1.58, bkg
1.27, 0.264, 1.06, sig
0.576, -1.33, 0.782, bkg
2.89, -1.45, 1.35, sig
-1.85, 0.549, 1.48, bkg
0.932, 0.882, 0.736, sig
0.563, -0.773, 0.54, bkg
1.02, -1.16, 0.402, sig
-1.48, 0.443, 0.419, bkg
0.82, 0.895, 0.784, sig
1.16, -1.35, 0.358, bkg
0.524, 1.77, 0.377, sig
-1.01, 0.332, 1.27, bkg
3.11, -2.45, 0.414, sig
-2.8, 2.73, 1.11, bkg
0.612, 0.636, 1.71, sig
-1.51, 0.519, 0.302, bkg
0.297, 1.63, 1.38, sig
-2.54, 0.766, 1.72, bkg
0.674, 0.902, 1.86, sig
-3.13, 2.0, 0.924, bkg
2.6, -1.1, 1.16, sig
-0.987, 0.171, 0.0924, bkg
-0.471, 0.865, 1.31, sig
-0.466, -0.691, 1.98, bkg
0.737, -0.291, 0.365, sig
0.882, -1.98, 1.26, bkg
0.377, 0.739, 1.5, sig
-0.12, -1.65, 0.751, bkg
-0.378, 1.33, 0.742, sig
-0.697, -0.775, 1.34, bkg
0.48, 1.2, 1.32, sig
-0.226, -1.96, 1.14, bkg
0.677, 0.385, 1.08, sig
-2.53, 1.77, 0.564, bkg
1.53, -0.179, 1.34, sig
-1.47, -0.327, 0.644, bkg
-1.45, 2.12, 0.443, sig
-1.27, -0.302, 1.85, bkg
0.363, 0.598, 0.924, sig
-3.72, 1.7, 0.625, bkg
0.102, -0.247, 0.844, sig
-0.554, -0.344, 1.58, bkg
-1.25, 2.35, 1.27, sig
0.259, -1.33, 1.17, bkg
0.462, 0.72, 1.49, sig
-0.436, -1.06, 0.901, bkg
1.61, 0.394, 0.594, sig
-1.43, 1.03, 0.726, bkg
0.799, 0.344, 1.93, sig
-0.747, 0.283, 1.23, bkg
2.77, -1.22, 1.49, sig
0.755, -1.79, 0.112, bkg
-0.671, 1.68, 0.0588, sig
-1.67, 0.00133, 0.0169, bkg
1.76, -1.21, 0.592, sig
-1.39, 0.399, 1.57, bkg
-0.00848, 0.309, 1.74, sig
1.03, -3.18, 1.32, bkg
1.64, -0.78, 1.96, sig
-1.11, 0.559, 1.59, bkg
-0.405, 1.88, 1.83, sig
-0.153, -1.03, 1.4, bkg
1.72, 0.0335, 0.752, sig
-1.52, 0.0139, 1.79, bkg
3.17, -1.08, 1.97, sig
-0.582, 0.328, 0.496, bkg
0.188, 0.776, 1.63, sig
-0.823, 0.149, 1.41, bkg
4.58, -2.78, 1.9, sig
-1.33, -0.358, 1.5, bkg
0.87, 0.824, 1.02, sig
-2.55, 1.47, 1.19, bkg
-0.18, 1.32, 0.884, sig
-2.38, 1.57, 1.13, bkg
1.09, -0.188, 0.413, sig
-0.917, -0.394, 0.702, bkg
0.908, 0.247, 1.97, sig
0.827, -2.71, 0.0703, bkg
0.83, -0.272, 1.88, sig
0.698, -2.31, 1.76, bkg
0.617, 1.42, 0.642, sig
0.593, -1.66, 0.528, bkg
1.59, -0.0988, 0.735, sig
-1.41, 0.0879, 1.4, bkg
0.838, 0.0934, 1.77, sig
-2.53, 1.62, 1.08, bkg
3.47, -1.31, 0.308, sig
-0.442, -1.2, 0.0377, bkg
2.55, -1.32, 1.86, sig
-0.356, -1.16, 0.574, bkg
3.11, -1.7, 0.716, sig
-0.234, -1.55, 1.13, bkg
